,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
Брянск,https://yandex.ru/maps/org/stalmetural/147599160636/reviews/,"улица ​Бежицкая, 286",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,5,,0,0,1,5,,0,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,2,3,"4,2",Иван,,3,"4,2",,,3,"4,2",Инна,,3,"4,2",
Якутск,https://yandex.ru/maps/org/stalmetural/178629597919/reviews/,"улица Кирова, 18 блок В",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Инна,,1,,,,1,,,,1,,,,1,,,,1,,,1,2,,Иван,,2,,Иван,,2,,,,2,,
Иваново,https://yandex.ru/maps/org/stalmetural/199208306761/reviews/,"проспект Шереметьевский, 85Г",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,1,0,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,Инна,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,Иван,,1,,,,1,,,,1,,
Владимир,https://yandex.ru/maps/org/stalmetural/88020615771/reviews/,"улица Большая Нижегородская, 34Б",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,1,,1,,2,2,,3,"4,2",,0,1,3,"4,2",2,2,2,5,"4,3",1,1,1,6,"4,4",,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,,6,,,,6,,,,6,,,,5,,,,5,,,,5,"4,3",,5,"4,3",,5,"4,3",-,,5,"4,3",-,,5,"4,3",-,,5,"4,3",-,,5,"4,3",-,,5,"4,3",-,,5,"4,3",,,5,"4,3",Иван,,5,"4,3",Инна,,5,"4,3",-,,5,"4,3",-,1,6,"4,3",Иван,,6,"4,3",-,,6,"4,3",,,6,"4,3",Инна,,6,"4,3",-,,6,"4,3",,,6,"4,3",,,6,"4,3",,,6,"4,3",,,6,"4,3",,1,7,"4,3",Иван,,7,"4,3",,,7,"4,3",Инна,,7,"4,3",
Чита,https://yandex.ru/maps/org/stalmetural/25947570864/reviews/,"улица Шилова, 35А",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,1,2,,,2,,-,,2,,-,,2,,-,,2,,-,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,1,3,"4,2",Инна,,3,"4,2",-,,3,"4,2",-,,3,"4,2",Иван,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",,,3,"4,2",Иван,,3,"4,2",
Калуга,https://yandex.ru/maps/org/stalmetural/40764560417/reviews/,"улица Ленина, 102а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,,0,,1,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,1,2,,Инна,,2,,-,,2,,-,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Белгород,https://yandex.ru/maps/org/stalmetural/130797066235/reviews/,"улица Князя Трубецкого, 24",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,,1,1,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,1,2,,Инна,,2,,-,,2,,-,1,3,,Инна,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,"3,7",,,3,"3,7",,,3,"3,7",,,3,"3,7",,,3,"3,7",,2,5,"3,8",Инна,,5,"3,8",Инна,,5,"3,8",,,5,"3,8",,,5,"3,8",,,5,"3,8",Иван,,5,"3,8",
Вологда,https://yandex.ru/maps/org/stalmetural/101838610682/reviews/,"улица ​Ленинградская, 150а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,5,,0,0,1,5,,0,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,Инна,,1,0,,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Смоленск,https://yandex.ru/maps/org/stalmetural/101206445426/reviews/,"улица Воробьёва, 13",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,Инна,,1,,-,,1,,-,1,2,4,Инна,2,4,"4,3",Инна,,4,"4,3",,,4,"4,3",,,4,"4,3",,,4,"4,3",,,4,"4,3",,,4,"4,3",Инна,,4,"4,3",
Курган,https://yandex.ru/maps/org/stalmetural/35300536412/reviews/,"улица Куйбышева, 12",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,1,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,Инна,,1,,Инна,,1,,Инна,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,Инна,,1,0,,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Архангельск,https://yandex.ru/maps/org/stalmetural/5741493060/reviews/,"улица Поморская, 7",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,1,1,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Иван,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Орёл,https://yandex.ru/maps/org/stalmetural/188702920373/reviews/,"улица ​Черкасская, 39",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,1,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Нижневартовск,https://yandex.ru/maps/org/stalmetural/134117193766/reviews/,"улица Индустриальная, 38",#REF!,,,1,2,2,1,2,,,,1,1,5,3,3,"4,2",4,4,"4,3",4,3,"4,3",1,4,3,"4,3",5,3,"4,3",2,2,,9,"4,5",3,0,0,9,"4,5",3,0,,9,"4,5",1,1,,10,"4,6",0,2,2,12,"4,7",,,,12,"4,7",,,,9,"4,5",,,,6,"4,5",,,,3,"4,5",,,,0,"4,5",1,1,1,10,"4,5",,,,10,"4,6",,,,10,"4,6",,,,10,"4,6",,,,10,"4,6",,,,10,"4,6",1,1,,11,"4,6",1,1,1,12,"4,6",,,12,"4,6",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,12,"4,7",,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",,,12,"4,7",,,12,"4,7",,1,13,"4,7",Иван,,13,"4,7",-,,13,"4,7",-,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",
Мурманск,https://yandex.ru/maps/org/stalmetural/172664017642/reviews/,"​проспект Ленина, 43",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",1,0,0,,,1,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Кострома,https://yandex.ru/maps/org/stalmetural/133698277407/reviews/,"улица Ленина, 10",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,"4,7",,,0,,1,,0,,1,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,1,2,,Инна,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Новороссийск,https://yandex.ru/maps/org/stalmetural/225439264735/reviews/,"улица ​Леднёва, 5а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Иван,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Тамбов,https://yandex.ru/maps/org/stalmetural/213964461482/reviews/,"улица ​Коммунальная, 21а",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Инна,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Таганрог,https://yandex.ru/maps/org/stalmetural/9688785610/reviews/,"улица Греческая, 2",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,1,2,,Инна,,2,,-,,2,,-,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Благовещенск,https://yandex.ru/maps/org/stalmetural/40082372510/reviews/,"улица Зейская, 136",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,0,0,,1,1,,1,0,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Великий Новгород,https://yandex.ru/maps/org/stalmetural/223424281709/reviews/," улица Большая Санкт-Петербургская, 22",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,1,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,0,,,,0,,1,1,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,Инна,,1,,Инна,,1,,Инна,1,2,,Инна,,2,,-,,2,,-,,2,,,,2,,,,2,,,,2,,,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Сыктывкар,https://yandex.ru/maps/org/stalmetural/206486140011/reviews/,"улица ​Гаражная, 9",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,0,1,0,Иван,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Абакан,https://yandex.ru/maps/org/stalmetural/17648599690/reviews/,"ул Чертыгашева, 148",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,1,,1,5,,,,1,0,,0,0,1,нет,,,,1,нет,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,1,2,,Инна,,2,,-,,2,,-,,2,0,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,
Южно-Сахалинск,https://yandex.ru/maps/org/stalmetural/26709782529/reviews/,"улица Курильская, 38",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Инна,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Пятигорск,https://yandex.ru/maps/org/stalmetural/199869272800/reviews/,"​проспект Кирова, 36",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Иван,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Новый Уренгой,https://yandex.ru/maps/org/stalmetural/158562457429/reviews/,"улица Ямальская, 19",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Ноябрьск,https://yandex.ru/maps/org/stalmetural/1062249591/reviews/," улица Ленина, 62",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,0,,,1,,,,1,,Иван,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Казахстан,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,49,"4,64",6,2,51,"4,64",11,4,55,"4,78",9,64,"4,78",3,67,"4,716666667",,3,70,"4,716666667",,2,72,"4,6375",,0,72,"4,6375",,2,74,"4,6375",,0,74,"4,6375",,0,74,"4,6375",,3,77,"4,588888889",,1,78,"4,611111111",,4,82,"4,622222222",,1,83,"4,611111111",,5,88,"4,59",,1,89,"4,59",,2,91,"2,522727273",,2,93,"4,625",,1,94,"4,625",,1,95,"4,63",,2,97,"4,64",,1,98,"4,64",,0,98,"4,64",,0,98,"4,64",,0,98,"4,64",,0,98,"4,64",,,98,"4,64",,,98,"4,64",
Алматы,https://yandex.ru/maps/org/stalmetgrupp/210005587496/reviews/,"улица Манаса, 32А",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,1,5,2,2,2,3,"4,2",2,2,,5,"4,2",1,0,,5,"4,3",1,0,0,5,"4,3",2,0,,5,"4,3",1,2,,5,"4,2",2,1,2,4,"4,4",2,0,,2,"4,4",1,0,,0,"4,4",1,0,,-2,"4,4",1,0,,-4,"4,4",1,1,,6,"4,4",1,3,1,9,"4,4",1,3,3,9,"4,4",1,2,,13,"4,6",,,,13,"4,7",,,,15,,,,15,"4,8",,,15,"4,8",,,15,5,,,15,"4,8",,,15,5,,15,5,,15,5,Инна,,15,5,-,,15,5,-,,15,5,-,,15,5,-,,15,5,-,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,,1,16,5,Иван,,16,5,-,1,17,5,Инна,,17,5,-,,17,5,,,17,5,,,17,5,,,17,5,,,17,5,,,17,5,,,17,5,,,17,5,,,17,5,,,17,5,
Шымкент,https://yandex.ru/maps/org/stalmetural/239814819262/reviews/,"проспект Кунаева, 59",#REF!,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,,3,3,3,3,"4,2",2,2,,5,"4,2",2,0,,5,"4,3",2,0,0,5,"4,3",2,0,,5,"4,3",1,2,,5,"4,2",2,1,,4,нет,2,0,,2,"4,4",1,0,,0,"4,4",1,0,,-2,"4,4",1,1,,-3,"4,4",1,0,1,7,"4,4",1,3,3,10,"4,4",,,,10,"4,6",,,,10,"4,6",1,1,,11,"4,6",1,1,1,12,"4,6",1,1,13,"4,7",,,13,"4,7",,,13,5,,,13,5,,,13,5,,13,5,1,14,5,Инна,,14,5,-,,14,5,-,,14,5,-,,14,5,-,,14,5,-,,14,5,,,14,5,,,14,5,,,14,5,,,14,5,,,14,5,,1,15,5,Инна,,15,5,Инна,,15,5,-,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,,,15,5,
Актобе,https://yandex.ru/maps/org/stalmetgrupp/206195009637/reviews/,"проспект Алии Молдагуловой, 46",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,1,2,,Инна,,2,,-,,2,,-,1,3,,Инна,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,0,,,3,,,,3,,,,3,,,,3,,,1,4,,Инна,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,
Караганда,https://yandex.ru/maps/org/stalmetgrupp/34015807316reviews/,"проспект Бухар Жырау, 49/6",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,0,,1,1,,,1,,-,,1,,Инна,,1,,Инна,,1,,-,,1,,-,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,Инна,,1,,-,,1,,Инна,,1,0,,,1,,-,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,
Тараз,https://yandex.ru/maps/org/stalmetural/186427244557/reviews/,"улица Казыбек Би, 115",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,0,,0,0,,,,0,0,,0,0,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,нет,,,,0,,1,1,1,,1,1,2,,,,2,,,,2,,,,2,,,2,,,2,,-,,2,,Инна,1,3,"4,4",Инна,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,,3,"4,4",,1,4,"4,5",Иван,1,5,"4,6",Инна,,5,"4,6",-,,5,"4,6",-,,5,"4,6",,,5,"4,6",,,5,"4,6",,,5,"4,6",,1,6,"4,7",Иван,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",,,6,"4,7",
